Dossier;Guideline;PDF link;observations (free text);epidermis;dermis;systemic;% of dose systemically avaliable (bioavaliability);conclusion (free text);;homogeneity;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;species/strain;source;age;sex;n animals / group;;dose;duration of exposure;removal of material;enclosed;dosing area;surface area;sampling times;samples;method of detecton;skin disc thickness (um);n of tapestrips;year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;method of analysis;observations;% of dose systemically avaliable (bioavaliability);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;species/strain;source;age;weight;sex;n animals / group;;dose;duration of exposure;removal of material;enclosed;dosing area;surface area;sampling times;samples;method of detection;skin disc thickness (um);n of tapestrips;;Additional info (free text);;Year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;;method of analysis;observations;% of dose systemically avaliable (bioavaliability);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity and stability;pH;concentration (%);composition;purity (%);chemical batch nr;additional info (free text);;method;;;;;;;;;;additional info (free text);;variables;;;;;;;;;validity Year;GLP;SCCS comment to test;Ref. in dossier;skin integrity and mass balance;control groups;additional information;own comments;;method of analysis;observations (free text);absorption data (bioavaliability %);tabulated data over each cellular compartment;absorption profile (graph);conclusion;;homogeneity and stability;pH;concentration (%);composition;purity (%);solubility in receptor fluid;chemical batch nr;additional info (free text);;method;;;;;;;;additional info (free text);;variables;;;;;;;Year;GLP;SCCS comment to test;Ref. in dossier;additional information;own comments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o-aminophenol;;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.91 ± 0.32, 2.98 ± 0.16 and 4.24 ± 0.31 µg/cm2 were absorbed in the groups III, II and I, respectively.;;;;;;;;0.32 (final concentration on the scalp);hair dye formulation containing 14C-labelled 0.8% o-aminophenol in the presence of m-aminophenol and absence of human hair (group 1) or presence of m-aminophenol and human hair (group 2) mixed with 1.5 parts H2O2, group 3 no m-aminophenol;;;;;;rat/hairless;;;;;;;;30 mins;the skin was shampooed and rinsed;;the back of hairless rats;;;urine, faeces and body organs, stratum corneum ;;;stratum corneum was removed by 6 tape strippings. ;; the animals were sacrificed 96 h after treatment.;;;;the study was not acceptable since it was performed in the presence of human hair and/or m-aminophenol. furthermore, the concentration used (0.32%) was lower than the one applied for (0.6%). ;26 (subm. II);absorption was determined by addition of radioactivity in the epidermis (without stratum corneum), dermis, carcass, urine and faeces. excretion was mainly into the urine (ca. 85%). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o-aminophenol;;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC + detection UV 240 nm + amperometric detection;formulation with 1% 1-hydroxy-2-aminobenzene. in two different experiments in the absence of hair, 500.77 ± 442.64 and 87.02 ± 53.41 ng/cm2 , which correspond to 0.24 and 0.04% respectively of the test compound applied on the skin, were measured in the receiving chamber. in two different experiments in the presence of hair, 221.25 ± 292.23 ng/cm2 and 99.32 ± 76.6 ng/cm2 , which correspond to 0.105% and 0.04% respectively of the test compound applied on the skin, were measured in the receiving chamber.;;;;;;;;(I) :1%, (II): 2% test substance + 1.98% p-phenylenendiamine, (III): 2% of the test substance and 2 % of 1- hydroxy-3-aminobenzene mixed with 1:1 H2O2 ;;2% (w/w) 1-hydroxy-2-aminobenzene in a formulation + oxidant formulation 20% H2O2, 1 + 1 (I), 2% (w/w) 1-hydroxy-2-aminobenzene in a formulation with 1.98% 1,4-diaminobenzene + oxidant formulation 20% H2O2,1 + 1 (II) and 2% (w/w) 1-hydroxy-2-aminobenzene in a formulation with 2% 1-hydroxy-3-aminobenzene + oxidant formulation 20% H2O2,1 + 1 (III) ;;;test substance: 1-hydroxy-2-aminobenzene. ;;;human breast epidermis;skin integrity: visual control through magnifying binocular. after 30 minutes of treatment the upper part of the skin was washed and dried;;2 /6-8 membranes per donor;diffusion cell (2 cm2);solution 0.9% sodium chloride and 10 µg/ml sodium ascorbate;;skin integrity: visual control through magnifying binocular. ;;;;2;20;;;30 min;1990;no;the method did not follow a guideline and was not in compliance with GLP. only epidermis was used, not the full skin. the control of the integrity was not done correctly. no data were supplied on the amount of test substance present in stratum corneum, epidermis and dermis. the variability between samples in one experiment and between different experiments under the same conditions is very high. because of these many shortcomings, the studies cannot be used for the safety assessment.;40, 41, 42 (subm. IV) ;after 30 minutes of treatment the upper part of the skin was washed and dried.  the mean quantity of test compound in the receiving chamber 4.5 h after application was measured. approximately 40 mg of the formulation were applied to the dermatomed membranes, which corresponds to 0.2 mg/cm2 of the test substances. in some experiments, hair was put in contact with the skin. the applications were rinsed off with distilled water and a 2% solution of sodium lauryl sulphate after a 30 min contact period, with the penetration of o-aminophenol through the membrane being assessed throughout 4 h exposure period. at the end of the exposure period, the amount of o-aminophenol in the receptor fluid was measured.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine;OECD 428;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_196.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC;"under the conditions of the experiments the amounts of n,n’-bis-(2-hydroxyethyl)-2-nitrop-phenylenediamine considered absorbed were: a) from 1.5% n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine in a direct dye cream: 1.454 ± 0.758 µg/cm²; b) from 1.0% n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine in an oxidative dye cream with developer and with hydrogen peroxide: 0.939 ± 0.407 µg/cm²; c) from 1.0% n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine in an oxidative dye cream with developer and without hydrogen peroxide: 1.466 ± 0.599 µg/cm².";;;;;;;;;"experiment a: b034 in direct dye cream (= 1.5 mg b034); experiment b: b034 in oxidative dye cream with developer and hydrogen peroxide (= 1.0 mg b034); experiment c: b034 in oxidative dye cream with developer and without hydrogen peroxide (= 1.0 mg b034); experiment d: b034 in aqueous solution (= 0.7 mg b034)";99.5;dala 013106 (sat 040271);test substance: b034;;0.75 mm;pig skin dermatomed;exposure terminated by gently rinsing with a 0.01% Tween 80 solution and deionised water;;2/4 ( 8 replicates per experiment);static penetration cells (franz-cells), 1.0 cm²;autoclaved dulbecco's phosphate buffered saline;7.4g/L in water;;;"skin integrity: transcutaneous electrical resistance, TER > 7kΩ; stability receptor fluid: stable in water, ";;;;1.0;100;0.5, 1, 2, 4, 6, 24, 29 and 48 hours after application;;;0.5h;;2004;yes;the amount of test material applied on the skin (100 mg/cm2 ) is too high compared to the recommended dose of 20 mg/cm². measurements over 48 hours were too long. an absorption of 1.76 μg/cm² (0.94 + 2 x 0.41 (mean + 2SD)) may be used for calculating the MOS for oxidative hair dyes. for non-oxidative hair dyes, an absorption of 2.97 μg /cm² (1.45 + 2 x 0.76) may be used for the calculation of the MoS.;13, submission II;;;the applied dose of the test substance was approx. 1.5 mg/cm² skin with the direct dye cream and 1.0 mg/cm² skin with the oxidative dye cream with and without hydrogen peroxide. the exposure terminated by gently rinsing with a 0.01% tween 80 solution and deionised water. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87);OECD 428;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LC-MS/MS;under the conditions of this in vitro study, c-1701 b_c_3 in a representative suncare cosmetic formulation at the concentration of 3% (w/w) penetrated through split-thickness human skin to a low extent. at 24h post dose, the amount considered as absorbed was estimated to be at maximum 1.08 ± 0.67 µg/cm2 corresponding to 1.63 ± 1.02% of the applied dose. ;;;;;;;;;commercial suncare formulation 758455 5, batch no. r2,containing 3% (w/w) c-1701 b_c_3 ;96.3;c-1701/8 ;test substance: c-1701 b_c_3 ;;200-400µm;human split-thickness aged between 25-48;;;4/12;static diffusion cell ;5% w/v bovine serum albumin in PBS;0.207 mg/ml;;;membrane integrity: electrical resistance barrier integrity test, membranes with a resistance < 4 kΩ were excluded, mass balance analysis: provided. ;;32;;3.14cm2;2 mg/cm2 of the test preparation (approx. 0.06mg c-1701 b_c_3/cm2, total dose approx. 0.19 mg);0, 0.5, 1, 2, 4, 8 and 24 hours post dose;;;24h;;2013;yes;the dermal absorption study was performed adequately. the SCCS has therefore decided to use the mean +1SD (1.63%+1.02=2.65% or 1.08+0.67 µg/cm2 =1.75 µg/cm2 ) for MoS calculations. ;;;;guideline: OECD no.28(2004),  SCCS/1358/10, SCCS NoG 6th rev. (2006), colipa (1997), tape stripping: yes (20 trips in total, 4 pools of 5 strips each). skin surface was washed twice with an aqueous solution of sidum dodecyl sulfate 2%w/v and then twice with water to reflect in-use condition. for each washing step, the skin wash was aspirated with a pipette and the skin was dried with a tissue-paper swab. an additional tissue-paper swab was used after the last water rinse. the soap and water were retained for analysis in avsingle pooled sample (skin wash). the pipette tips and tissue-paper swabs were retained. the cells were dismantled and the donor chamber retained for analysis (donor chamber wash). the underside of the skin was dried with additional tissue swabs. the receptor chambers were emptied, and bulk receptor fluid retained. the chambers were rinsed with methanol (40 mL) and the wash retained (receptor wash). the skin was divided into exposed skin and unexposed skin (i.e. the area of skin under the cell flange). the stratum corneum was removed from the skin by tape stripping. afterwards, the epidermis was separated from the dermis by the heat separation technique. exposed skin, unexposed skin, skin washes, tissue swabs, pipette tips and tape strips were extracted in a suitable solvent and all samples were analysed by LC-MS/MS. all cumulative receptor fluid values were calculated from data which included values less than the lower limit of quantification (LLOQ,1 ng/mL). any receptor fluid value below the LLOQ was assigned the nominal value of theLLOQ (1 ng/mL), representing the “worst-case” result for absorbed test item. values belowthe LLOQ were observed up to 2-4 hours post dose. the solubility of the test item in thereceptor fluid was not rate limiting for absorption. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hydroxyethyl-p-phenylenediamine sulfate ;OECD 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LSC;for [14C]-hydroxyethyl-p-phenylenediamine sulfate in the oxidative hair dye test preparation at a concentration of 2% (w/w) (test preparation 1), a total of 12 samples of human skin, obtained from 6 different donors were dosed topically with [14C]-hydroxyethylp-phenylenediamine sulfate. at 30 min post dose, 97.16% of the applied dose was removed by washing. at 72 h post dose and after the final wash off, the stratum corneum retained 0.80% (3.48 μg equiv./cm2 ) of the applied dose. the epidermis and dermis retained 0.37% (1.63 μg equiv./cm²) and 0.06% (0.25 μg equiv./cm2 ) of the applied dose, respectively. the absorbed dose or the amount that had penetrated through the skin (receptor fluid and receptor rinse) was 0.13% (0.58 μg equiv./cm2 ) of the applied dose. the mass balance was complete with 99.59% (SD 1.91%) of the applied dose recovered. for [14C]-hydroxyethyl-p-phenylenediamine sulfate in the non-oxidative hair dye test preparation at a concentration of 2% (w/w) (test preparation 2), a total of 12 samples of human skin, obtained from 6 different donors were dosed topically with [14C]-hydroxyethyl-p-phenylenediamine sulfate. at 30 min post dose, 99.17% of the applied dose was removed by washing. at 72 h post dose and after the final wash off, the stratum corneum retained 0.53% (2.26 μg equiv./cm2 ) of the applied dose. the epidermis and dermis retained 0.27% (1.16 μg equiv./cm2 ) and 0.06% (0.26 μg equiv./cm2 ) of the applied dose, respectively. the absorbed dose or the amount that had penetrated through the skin (receptor fluid and receptor rinse), was 0.16% (0.70 μg equiv./cm2 ) of the applied dose. the mass balance was complete with 101.21% (SD 3.08%) of the applied dose recovered. ;the dermal bioavailability of hydroxyethyl-p-phenylenediamine sulfate was 0.57% (2.46 μg equiv./cm²) under oxidative conditions and 0.49% (2.12 μg equiv./cm²) under non-oxidative conditions. ;;;;;;;2;formulation 1: dtf0387098af01 koleston base formulation. formulation containing hydroxyethyl-p-phenylenediamine sulfate at ca 3% (w/w -3% betoxol) to which [14C]-hydroxyethyl-p-phenylenediamine sulfate (ca 2 mCi) was added to give a final concentration of 4% Hydroxyethyl-p-phenylenediamine sulfate in the formulation. formulation 2: 6230704401 peroxide developer. formulation 3: dtf0024095af03 placebo developer/ test preparation 1: formulation 1 + formulation 2, (2% test substance, w/w) test preparation 2: formulation 1 + formulation 3, (2% test substance, w/w) ;99.8;36/37 (r0024480), radiolabel batch cfq40510 batch b1 ;"test substance: hydroxyethyl-p-phenylenediamine sulfate (betoxol II), radiolabel substance: hydroxyethyl-p-[ring-U-14C]phenylenediamine sulfate; 242 µCi/mg. stability: 8 years, if stored dry and in the dark.solubility in water: 51.2 g/L at pH 2.02.";;full-tickness 200-400 µM;human full-thickness( 7abdomen and 1breast);human full-thickness ;;6/12;flow-through diffusion cells;phosphate buffered saline containing sodium azide (0.01%, w/v) ;;;;skin integrity: tritiated water, permeability coefficient < 3.5 x 10^-3 cm/h,;;;;0.64;20;30 min fractions from 0 to 1 h post dose, then hourly fractions from 1 to 6 h post dose and then in 2-hourly fractions from 6 to 72 h post dose.;;;;;2009;no;this was a well performed study. for calculating the MoS under oxidative conditions the amount bioavailable is considered as 3.62 μg equiv./cm² (mean + 1 SD, 2.46 + 1.16 equiv./cm²). under non-oxidative conditions the amount bioavailable is considered as 3.17 μg equiv./cm² (mean + 1SD, 2.12 + 1.05 equiv./cm²).;1, subm 2009;;;at 30 min post dose, the skin was washed with water, sodium dodecyl sulfate (SDS) solution (2% w/v) and water again. the skin was then dried with tissue paper swabs. at 72 h post dose, the skin surface was washed and dried in the same manner as described for the 30 min wash. the underside of the skin was rinsed with receptor fluid. the skin was then removed from the flow-through cells, dried and the stratum corneum removed by tape stripping. the remaining samples were divided into exposed and unexposed skin (i.e. the area of skin under the cell flange). the exposed epidermis was separated from the dermis using heat separation. the skin samples were solubilised with solvable® tissue solubiliser.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n°9;;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC;the quantity of test substance penetrating through the epidermis to the receptor fluid corresponded to 0.08% of applied dose in the presence of hair and 0.4% of applied dose in the absence of hair.;;;;;;;;0.45%;;99.9;;op 26;test substance: imexine fad, 0.45% in formulation;;;human breast epidermis ;heat-separation of previously frozen mammary skin;;replicate cells: 8/11;franz diffusion cell (static);dulbecco’s phosphate buffered saline;;;;;;;40 mg / 2 cm2;after 4 and 24hours;excess washed off with distilled water and 2% sodium lauryl sulphate solution and dried. ;30 minutes;;no;the study did not follow a guideline and was not GLP compliant. it did not include determination of recovery of the test substance. physiological saline was used as the receptor fluid, which may not be adequate for a relatively lipophilic substance. the study is considered inadequate.;11 (subm. I) ;approximately 40 mg of the mixture was applied to 2 cm² of epidermal membrane for 30 minutes, with and without addition of finely chopped bleached hair before washing off the excess. integrity of the epidermal membrane was checked by microscopy before the study and with chinese ink at the end of the study.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n°9;OECD draft 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HPLC with visible detection. ;most of the hair dye applied was recovered at the skin surface in the washing liquids (75.1 ± 8.86 %, 59.9 ± 6.96 μg/cm²). the quantity of test substance penetrating through the skin to the receptor fluid was 0.19 ± 0.21 % of the applied dose (0.15± 0.17 μg/cm²). the amount recovered in the horny layer was 7.56 ± 6.12 % (6.05 ± 4.90 μg/cm²). the epidermis and the dermis content was 5.70 ± 2.94 % of the applied dose (4.54 ± 2.32 μg/cm²). the amount found in the horny layer is higher than in the dermis and epidermis indicating a storage phenomenon of the hair dye in the stratum corneum. the absorbed amounts of hc yellow n° 9 (epidermis + dermis + receptor fluid) represents 5.89 ± 3.05 % of the applied dose (4.69 ± 2.41 μg/cm²) at the end of 24 hours of diffusion after a contact with the skin of 30 minutes.;5.89%;;;;;;;0.41 % w/w (amount of hc yellow n° 9 applied 79.8 ± 0.8 μg/cm²) ;a typical “commercial type” formulation.;> 98.3;verified at 32°C, 65.8 μg/ml. the solubility of hc yellow n° 9 in the receptor fluid (pbs buffer) was checked in the range of the concentration used.;0503181;test substance: hc yellow n°9;;constant thickness (570 ± 58 μm);human abdominal skin (kept at -20°C);dermatomed skin (kept at -20°C);;4 skin doners, 2 cells/donor, 8 cells mounted and interpreted;static franz diffusion cell / receptor compartment 3 ml;instamed PBS buffer w/o Ca++ Mg++ 9.55 g/l;;skin integrity: tewl measurement(3.8 ±1.0 g/m²/h). validation: limit of detection (0.005 μg/ml) and limit of quantitation (0.005 μg/ml) measured in the receptor fluid and in the extraction solvent of the tissue samples. after assay of hc yellow n° 9 in the washing material (skin excess) the mass balance of the study was calculated (88.6 ± 2.8 % of the applied dose) ;;the skin surface temperature was monitored (31.2 ± 0.0 °C);;2 cm2;20 mg/cm2 (19.6 ± 0.2 mg/cm2);;the excess from the skin surface was rinsed first with water, followed by a wash with 2 % aqueous sodium lauryl sulphate solution, again rinsed with water and finally dried with cotton swabs. ;30 minutes;2001;yes;the test concentration was lower than the intended use concentration. the coefficient of variation (CV) of the absorption is high (51%). 9.51 μg/cm² (mean + 2 SD) should be used for MOS calculation.;12b (subm. III) ;"duration of diffusion: 24h; the horny layer collected by tape stripping (3 to 15 strips); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n° 2;OECD 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counting;the penetration of hc yellow n° 2 through human skin is very slow. under non-oxidative conditions the dermal absorption of hc Yellow n° 2 was 4.02 ± 1.29 µg/cm² (2.01 ± 0.64%).;2.01;;;;;;;1%;hair dye cream formulation, blank formulation: loving care tint ;"101.3%; 99.9% (hplc) (radiolabelled)";I06570 and y13170/002 (radiolabelled);"test substance: hc yellow n° 2 and  [14C]-hc yellow n° 2; 54 mCi/mmol; 1.998 GBq/mmol";;400 µm;human skin;dermatomed;;5/12;glass diffusion cells (2.54 cm²) ;4% polyoxyethylene-20-oleyl ether solution in phosphate buffered saline;> 0.1 mg/ml;;;"skin integrity: electrical resistance, > 10 kΩ;  the dose was washed from the surface of the skin using natural sponges soaked in 3% Teepol";;;;2.54 cm2;20;;;;30min., duration of the diffusion: 48h;;2004;yes;the mean + 1 SD equals 5.31 (4.02 + 1.29) µg/cm² can be used to calculate the MOS under non-oxidative conditions;10;;;"duration of the diffusion: 48 hours, nominal concentration of 1%w/w; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n° 2;OECD 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hplc and uv/vis detection;hc yellow n° 2 was detected in all samples relevant for dermal absorption, i.e. in the skin extracts and in the receptor fluid samples after 24 hours. the LOD under the conditions reported is about 1.8 ng/ml. the amount of penetrated test item found in the receptor fluid plus that found in the skin extract are considered as penetrated respectively absorbed. the mean recovery of the test item was 98.2% in the first and 100.4% in the second experiment.under the reported conditions, the dermal absorption of hc yellow n° 2 is 6.06 ± 2.21 µg/cm² or 4.71 ± 1.7% (mean value of 10 diffusion cells (10 donors)). for the calculation of the MOS in oxidative conditions, 6.06 + 2.21 equals 8.27 µg/cm² (mean + 1 SD) will be used.;;;;;;;;1.5% (0.75% after mixing with H2O2);alkaline cream emulsion;;c1r2004005.62;;;300-400 µm;pig ear skin;porcine ear obtained from the slaughter house immediately after slaughter and before steam cleaning was used for this experiment. the outer ear region was washed, carefully shaved and the skin was removed by dissection.;;1/6 (2 experiments);glass static diffusion chambers;saline (0.9% NaCl);up to 2 µg/mL.;chamber was filled with 20 µL;;skin integrity: by conductivity, intact skin has a conductivity of <900 µS. experiment 1+2: a standard hair dye formulation containing 1.5% hc yellow n° 2 (c1/r/2004005/62) was mixed with the developer lotion 6% (1/1) before application to the skin.  solubility and stability of hc yellow n° 2 in pbs was shown in the implementation study of the analytical method (rcc_2000801). ;;32;;1cm2;20 µL/cm² (corresponding to 150 µg/cm² a.i.);;;;30 min., duration of the diffusion: 24 hours;;2007;yes;the dermal absorption rate under oxidative conditions was slightly higher than under non-oxidative conditions, even though a lower concentration was applied. however, skin from different species was used in both tests.;23;;;"duration of the diffusion: 24 hours; validation: limit of detection about 1.8 ng/mL. buffer solution of the acceptor chamber was collected in plastic vials which were replaced according to the sampling times and stored at – 20 °C. after 30 min of incubation the test item was removed from skin with deionised water and shampoo solution. following the washing procedure the donor chambers were filled with 1ml of saline to determine the impedance of the skin. the stratum corneum was separated from the living skin by tape strip method (2x5 tesa film pieces) ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n° 17 (b121);OECD 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_186.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;liquid scintillation counter;all diffusion cells yielded data that could be analysed and the mean recovery rate was good at 96.4%. most of the hc yellow no. 17 applied on the skin surface was removed with the skin wash at 20 minutes (96.3%). the mean amount of hc yellow no. 17 considered as systemically available was estimated as follows (sum of amounts measured in living epidermis/dermis and receptor fluid): 0.021 ± 0.013 µg.eq/cm2 (0.019 ± 0.012% of the applied dose). the results obtained in this study indicate that hc yellow no. 17 present at 0.5% in a typical hair dye formulation penetrated through human dermatomed skin at an extremely slow rate. the amount of hc yellow no. 17 considered as absorbed was estimated to be at most 0.021 ± 0.013 µg.eq/cm2 corresponding to 0.019 ± 0.012% of the applied dose. ;0.019%;;;;;;;0.5%;;relative purity 97.4% at 428 nm and 99.5% radiochemical pure ;[14C]-e212289 and cfq41700 ;;test substance: [methoxymethyl-14C]-dye C. test item: hair dye formulation containing 0.5% hc yellow 17. the hplc analysis of the hair dye formulation performed following the dosing procedure and 24 hours post application was 99.2 and 99%, respectively, confirming that the formulation was stable for a 24-hour period. ;400 µM;human (female), abdominal from tissue bank;dermatomed thawed skin, the membranes were stored frozen, at approximately -20° C, on aluminum foil until use.;;4 donors/12 samples;diffusion cells;degassed PBS;;;;membrane integrity: checked by electrical resistance, at least 10 kOhm. membranes with a measured resistance of <10 kΩ were regarded as having a lower integrity than normal and not used for exposure to the test materials. preliminary investigations showed that hc yellow no. 17 bound to the glassware, which was therefore treated with 5% dimethyldichlorosilane in toluene. this treatment yielded a good recovery rate. after exposure time period, the remaining formulation on the skin surface was removed using a standardised washing procedure, simulating use conditions.;;32°C;;;20 mg/cm2 formulation, corresponding to 100 µg/cm2 dye ;24 hours;;;20 minutes;;2013;yes;sccs considers that the mean plus 2 standard deviations (0.047 µg/cm2 ) should be used for MOS calculation because of the short exposure time.;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hc yellow n° 13;OECD 428;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_044.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hplc;total balance (total recovery) was 100.21 ± 3.41% of the dose applied. the majority of the applied dose of fluorgelb (wr18213) remained on the skin surface (100.10 ± 3.40% of the applied dose or 2.503 ± 0.085 mg/cm²). after 72 h, 1.65 ± 0.11 µg/cm² had penetrated into the receptor fluid, 0.04 ± 0.03 µg/cm² in the upper skin, and 0.92 ± 0.42 µg/cm² was recovered in the lower skin. the amount 2.61 ± 0.56 µg/cm² (receptor fluid + upper skin + lower skin) of fluorgelb (wr18213) was considered to be bioavailable. ;2.61 ± 0.56 µg/cm²;;;;;;;2.5;typical oxidative hair dye formulation;100 (HPLC at 254 nm);az212;test substance: fluorgelb (wr18213) ;;mean 1000 µm;porcine (schweizer landedelschwein, female) back and flank skin;skin was heat-treated and the ‘upper skin’ (stratum corneum and upper stratum germinativum) was mechanically separated from the ‘lower skin’ (lower stratum germinativum and upper dermis);;6;diffusion teflon-chambers;physiological phosphate buffer containing NaCl and antibiotics;0.769 mg/ml;;;skin integrity: tritiated water resulting in 0.4 to 1.9% of the applied dose found in the receptor fluids, which was within the limit of acceptance (< 2.0%) for all 6 skin samples. stability receptor fluid: stable. receptor solution was pumped through the receptor chamber at a rate of 5 ml/h. 60 minutes after test substance application, the test item was removed by washing the skin twice with 4 ml water, then once with 4 ml of a shampoo-formulation (diluted to approximately 14%), and again twice with water. the washing solutions were combined and the amount of dye was determined by hplc. ;;;;4;100;16, 24, 40, 48, 64, and 72 hours;;;1;;2005;yes;the amount 2.61 ± 0.56 µg/cm² (receptor fluid + upper skin + lower skin) of fluorgelb (wr18213) was considered to be bioavailable under oxidative conditions in a formulation containing 2.5% fluorgelb. however, only 5 chambers were used and the dose of formulation was too high. therefore, the mean+2SD (3.73 µg/cm²) should be used in calculating the MOS.;22;;;five samples for the formulation containing the test item and one for the blank formulation. at termination of the experiment, the skin was heat-treated and the ‘upper skin’ (stratum corneum and upper stratum germinativum) was mechanically separated from the ‘lower skin’ (lower stratum germinativum and upper dermis). Both skin compartments were extracted separately and the dye content was quantified by means of hplc. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
